"Time","Path","Threat"
"2026/9/10 16:29:48","C:\$Recycle.Bin\S-1-5-21-793294064-160207246-15366896-15670\$RUOD514.exe ",""
"2026/9/10 16:43:20","C:\Program Files\Autodesk\3ds Max 2021\3dsMax2022-2021Patch.exe ",""
"2026/9/10 16:59:16","C:\Program Files (x86)\7a27Qo\XPSPLOG.dll ",""
"2026/9/10 17:01:29","C:\Program Files (x86)\LuDaShi\lpi\HpSvc.dll ",""
"2026/9/10 17:17:10","C:\ProgramData\ESnNP40A\9XWMuT53.exe ",""
"2026/9/10 17:21:20","C:\ProgramData\O9VPr4nA\FXWMYkGZ.exe ",""
"2026/9/10 17:22:24","C:\ProgramData\WindowsInstaller\{B4D63C9B-FBD6-0335-A3BB-FE823E9E7401}\Diagnostics.Client.3151006820.exe ",""
"2026/9/10 17:22:29","C:\ProgramData\kvbaZXUT.exe ",""
"2026/9/10 18:07:24","C:\Users\fulin.hou\AppData\Local\Temp\SetupBootstrapper-{148175C6-8B7C-471B-B22E-9EA5DB590E92}\pkgutil.dll ",""
"2026/9/10 18:11:58","C:\Users\fulin.hou\AppData\Local\Temp\{69ECB3E5-6A17-4bb5-9E5D-0B08ED62E738}.tmp\setup.7z ",""
"2026/9/10 18:12:38","C:\Users\fulin.hou\AppData\Local\Temp\mbdl-c5efcd6474f288043eda2eb4ab36eaee.tmp ",""
"2026/9/10 18:20:14","C:\Users\fulin.hou\AppData\Roaming\kingsoft\wps\download\84c1413fc0715b48ea71053dba1d0308683d3023 ",""
"2026/9/10 18:25:21","C:\Users\fulin.hou\AppData\Local\WydqZbvili\WydqZbvili.exe ",""
"2026/9/10 18:28:10","C:\Users\fulin.hou\Downloads\setuploader.exe ",""
"2026/9/10 18:28:24","C:\Users\Public\2gZsbf\UxEnhance64.dll ",""
"2026/9/10 18:31:22","C:\Windows\ccmcache\2\DGSetup_Home_KZ.exe ",""
"2026/9/10 18:31:30","C:\Windows\ccmcache\2\haozip_v6.0.2.10995.exe ",""
"2026/9/10 18:31:42","C:\Windows\ccmcache\2\W.P.S.9584.12012.2019.exe ",""
"2026/9/10 18:33:10","C:\Windows\ccmcache\2\WXWork_3.0.20.1618 (1).exe ",""
"2026/9/10 18:50:12","C:\Windows\System32\WpOvlay.dll ",""
"2026/9/10 20:25:48","C:\Program Files (x86)\kDexcm\XPSPLOG.dll ",""
"2026/9/10 20:27:03","C:\Users\Public\mSairk\UxEnhance64.dll ",""
"2026/9/10 20:27:07","C:\Quarantine-20260910\Windows_Temp_ranchserv.jpg ",""
"2026/9/10 21:50:28","C:\Users\fulin.hou\AppData\Local\Temp\{16B1C9CA-927C-4000-8AB6-9105D55A797A}.tmp ",""
"2026/9/10 21:50:45","C:\Users\fulin.hou\AppData\Local\Temp\{FC1C5107-0958-4f60-8003-3393A4D5E41D}.tmp ",""
"2026/9/10 22:58:43","C:\Windows\System32\WpOvlay64.dll ",""
"2026/9/10 23:09:05","C:\Windows\1CTHYgh1Qf.bat ",""
"2026/9/10 23:09:11","C:\Windows\1fj8TQIqZ.bat ",""
"2026/9/10 23:09:15","C:\Windows\1ISpaU.bat ",""
"2026/9/10 23:09:18","C:\Windows\1YjKHh.bat ",""
"2026/9/10 23:09:22","C:\Windows\1yRrTz1G.bat ",""
"2026/9/10 23:09:25","C:\Windows\8awANKjE.bat ",""
"2026/9/10 23:09:29","C:\Windows\8nAPh.bat ",""
"2026/9/10 23:09:32","C:\Windows\8SmbW.bat ",""
"2026/9/10 23:09:36","C:\Windows\98xApIeqAx.bat ",""
"2026/9/10 23:09:39","C:\Windows\9bNUSR.bat ",""
"2026/9/10 23:09:43","C:\Windows\9nPCuXztF.bat ",""
"2026/9/10 23:09:46","C:\Windows\9Trmxo.bat ",""
"2026/9/10 23:09:50","C:\Windows\9utFOBBwdQ.bat ",""
"2026/9/10 23:09:53","C:\Windows\9vzPdgfMMz.bat ",""
"2026/9/10 23:09:56","C:\Windows\9Wpi8eVuK.bat ",""
"2026/9/10 23:10:00","C:\Windows\AetEibQ.bat ",""
"2026/9/10 23:10:03","C:\Windows\AFAC8BUS.bat ",""
"2026/9/10 23:10:07","C:\Windows\AFaHkn.bat ",""
"2026/9/10 23:10:10","C:\Windows\AHXNyN.bat ",""
"2026/9/10 23:10:14","C:\Windows\AL1ZmKL1.bat ",""
"2026/9/10 23:10:17","C:\Windows\ARXZj.bat ",""
"2026/9/10 23:10:20","C:\Windows\ASWOeFAE.bat ",""
"2026/9/10 23:10:24","C:\Windows\AupuWXZwm8.bat ",""
"2026/9/10 23:10:27","C:\Windows\b9lzpLz8z.bat ",""
"2026/9/10 23:10:31","C:\Windows\Bdjd.bat ",""
"2026/9/10 23:10:34","C:\Windows\bdtK.bat ",""
"2026/9/10 23:10:38","C:\Windows\bFG8rqAy.bat ",""
"2026/9/10 23:10:41","C:\Windows\bHltr9.bat ",""
"2026/9/10 23:10:45","C:\Windows\BhqLqE.bat ",""
"2026/9/10 23:10:48","C:\Windows\BoHS.bat ",""
"2026/9/10 23:10:51","C:\Windows\boTVZsyPMl.bat ",""
"2026/9/10 23:10:55","C:\Windows\bZFBhiSZEJ.bat ",""
"2026/9/10 23:10:58","C:\Windows\cBejiNF.bat ",""
"2026/9/10 23:11:02","C:\Windows\cKFODnr.bat ",""
"2026/9/10 23:11:05","C:\Windows\cnnpFAcghh.bat ",""
"2026/9/10 23:11:08","C:\Windows\CoXw1Pqsx.bat ",""
"2026/9/10 23:11:12","C:\Windows\CPxuvQV1.bat ",""
"2026/9/10 23:11:15","C:\Windows\cWYCsG.bat ",""
"2026/9/10 23:11:19","C:\Windows\dAgng.bat ",""
"2026/9/10 23:11:22","C:\Windows\dGnBYw9m.bat ",""
